Cycle,Time,Voltage,Current,Temperature,Capacity
2,0,4.19149180750529,-0.00490158920746269,24.3300338855705,1.85648742081816
2,16.781,4.1907490677761,-0.00147800555164251,24.3259934240225,1.85648742081816
2,35.703,3.97487091222999,-2.01252832408604,24.3890851275649,1.85648742081816
2,53.781,3.95171670751089,-2.01397936209874,24.5447523167272,1.85648742081816
2,71.922,3.9343524894326,-2.01114359599115,24.7313852009341,1.85648742081816
2,90.094,3.92005844166791,-2.01300662781294,24.9098163973038,1.85648742081816
2,108.281,3.90790350991309,-2.01439965705264,25.1058841525274,1.85648742081816
2,126.453,3.89703572169109,-2.01160288530172,25.3170185607883,1.85648742081816
2,144.641,3.88747658054044,-2.0180146876333,25.5094231004899,1.85648742081816
2,162.844,3.87895859247514,-2.01313475351151,25.703603451474,1.85648742081816
2,181.016,3.87101598480779,-2.01316220224595,25.8872081935672,1.85648742081816
2,199.219,3.8634796774934,-2.01303023418461,26.0778148560613,1.85648742081816
2,217.391,3.85666050703146,-2.01371049851857,26.2543146245632,1.85648742081816
2,235.594,3.85001357916834,-2.01415013745466,26.4367106868944,1.85648742081816
2,253.75,3.84384190541381,-2.013463983241,26.6112789099098,1.85648742081816
2,271.984,3.83768797571906,-2.01264583638753,26.7813476537748,1.85648742081816
2,290.141,3.83193825298352,-2.01340930058713,26.9574588509864,1.85648742081816
2,308.359,3.82641444300992,-2.01314549982481,27.1298001424599,1.85648742081816
2,326.5,3.82109573438256,-2.01204128943031,27.3058240756151,1.85648742081816
2,344.75,3.81589666466862,-2.0144632529994,27.464816676941,1.85648742081816
2,362.906,3.81069682190636,-2.01314002971595,27.6179645227552,1.85648742081816
2,381.047,3.80583738096969,-2.00922643619629,27.7754778254587,1.85648742081816
2,399.187,3.8011216334633,-2.01466618038391,27.9313299791523,1.85648742081816
2,417.281,3.79629313055025,-2.01321832884032,28.0789694815712,1.85648742081816
2,435.484,3.79144890639008,-2.01151422011174,28.233503103315,1.85648742081816
2,453.672,3.78662468670613,-2.01220227981274,28.3787794093877,1.85648742081816
2,471.812,3.78206292303341,-2.01385334477125,28.5225241950898,1.85648742081816
2,490.203,3.77717540186865,-2.01213146011162,28.6658983307403,1.85648742081816
2,508.344,3.77240629397936,-2.01070173140752,28.8167182889576,1.85648742081816
2,526.625,3.76793745919496,-2.01208603752232,28.932748936688,1.85648742081816
2,544.922,3.76322930364035,-2.01229391932774,29.0704460950252,1.85648742081816
2,563.125,3.75851149202913,-2.01346597836118,29.1845862659112,1.85648742081816
2,581.406,3.75421321007525,-2.01358796093004,29.2924441073276,1.85648742081816
2,599.656,3.74962920289956,-2.01284705723582,29.4027458081941,1.85648742081816
2,617.875,3.74516885963638,-2.01242628276702,29.4989650951487,1.85648742081816
2,636.047,3.74100500876119,-2.01245565050621,29.5937029268963,1.85648742081816
2,654.422,3.73669982885741,-2.01338480049785,29.681428273132,1.85648742081816
2,672.594,3.73248270531015,-2.01262885734551,29.7667014154257,1.85648742081816
2,690.812,3.72835255440004,-2.01550536193371,29.8390810144007,1.85648742081816
2,708.937,3.72453323547867,-2.0113296575729,29.9108757310954,1.85648742081816
2,727.266,3.72065102608771,-2.01087904153185,29.9822443190752,1.85648742081816
2,745.578,3.71640900822778,-2.01299613028587,30.0326427784002,1.85648742081816
2,763.797,3.71279183783938,-2.01075794856787,30.0943578503626,1.85648742081816
2,782.109,3.70842761443677,-2.01370126925639,30.1385033025236,1.85648742081816
2,800.484,3.7047917716546,-2.01114443646185,30.1867640211383,1.85648742081816
